Subject,Link,Faculty,Semester,Name,Ect
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Przedmioty do wyboru wspólne dla kierunku,2
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Komunikacja w działalności gospodarczej,2
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Negocjacje w biznesie,2
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Podstawy organizacji i zarządzanie,2
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Wprowadzenie do mikroekonomii,6
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Język obcy,4
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Język angielski,4
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Język niemiecki,4
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Przedmioty humanistyczno-społeczne do wyboru,2
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Podstawy socjologii,2
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Polska Myśl Demokratyczna,2
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Encyklopedia prawa,3
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Matematyka,5
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Ochrona własności intelektualnej,1
Ekonomia [lic] [st],https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3,College of Economics and Social Sciences,Semester 1,Podstawy filozofii i metodologia nauk,2
