node_id,property_type,property_value
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
Ekonomia [lic] [st]College of Economics and Social Sciences,Link,https://ects.coi.pw.edu.pl/menu2/detail2test/idProgram/2070/idWydzial/20/idStopien/3
