node_id,node_type
Ekonomia [lic] [st]College of Economics and Social Sciences,College of Economics and Social Sciences
Ekonomia [lic] [nst]College of Economics and Social Sciences,College of Economics and Social Sciences
Ekonomia [mgr] [st]College of Economics and Social Sciences,College of Economics and Social Sciences
Ekonomia [mgr] [nst-zaocz.]College of Economics and Social Sciences,College of Economics and Social Sciences
Administracja [lic] [st]Faculty of Administration and Social Science,Faculty of Administration and Social Science
Administracja [lic] [nst]Faculty of Administration and Social Science,Faculty of Administration and Social Science
Administracja [mgr] [st]Faculty of Administration and Social Science,Faculty of Administration and Social Science
Administracja [mgr] [nst]Faculty of Administration and Social Science,Faculty of Administration and Social Science
Architektura [mgr] [st]Faculty of Architecture,Faculty of Architecture
"Budownictwo [inż] [st]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Inżynieria Środowiska [inż] [st]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Mechanika i Budowa Maszyn [inż] [st]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Technologia Chemiczna [inż] [st]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Budownictwo [inż] [nst-zaocz.]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Inżynieria Środowiska [inż] [nst-zaocz.]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Mechanika i Budowa Maszyn [inż] [nst-zaocz.]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Technologia Chemiczna [inż] [nst-zaocz.]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Budownictwo [mgr] [st]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Mechanika i Budowa Maszyn [mgr] [st]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Technologia Chemiczna [mgr] [st]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Budownictwo [mgr] [nst-zaocz.]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Mechanika i Budowa Maszyn [mgr] [nst-zaocz.]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
"Technologia Chemiczna [mgr] [nst-zaocz.]Faculty of Civil Engineering, Mechanics and Petrochemistry","Faculty of Civil Engineering, Mechanics and Petrochemistry"
Biotechnologia [inż] [st]Faculty of Chemistry,Faculty of Chemistry
Technologia Chemiczna [inż] [st]Faculty of Chemistry,Faculty of Chemistry
Technologia Chemiczna - profil praktyczny [inż] [st]Faculty of Chemistry,Faculty of Chemistry
Biotechnologia [mgr] [st]Faculty of Chemistry,Faculty of Chemistry
Technologia Chemiczna [mgr] [st]Faculty of Chemistry,Faculty of Chemistry
Elektronika i Telekomunikacja [inż] [nst-zaocz.]Faculty of Electronics and Information Technology,Faculty of Electronics and Information Technology
Informatyka [mgr] [nst-zaocz.]Faculty of Electronics and Information Technology,Faculty of Electronics and Information Technology
Fizyka Techniczna [inż] [st]Faculty of Physics,Faculty of Physics
Fotonika [inż] [st]Faculty of Physics,Faculty of Physics
Fizyka Techniczna [mgr] [st]Faculty of Physics,Faculty of Physics
Geodezja i Kartografia [inż] [st]Faculty of Geodesy and Cartography,Faculty of Geodesy and Cartography
Geoinformatyka [inż] [st]Faculty of Geodesy and Cartography,Faculty of Geodesy and Cartography
Gospodarka Przestrzenna [inż] [st]Faculty of Geodesy and Cartography,Faculty of Geodesy and Cartography
Geodezja i Kartografia [inż] [nst]Faculty of Geodesy and Cartography,Faculty of Geodesy and Cartography
Geodezja i Kartografia [mgr] [st]Faculty of Geodesy and Cartography,Faculty of Geodesy and Cartography
Gospodarka Przestrzenna [mgr] [st]Faculty of Geodesy and Cartography,Faculty of Geodesy and Cartography
Geodezja i Kartografia [mgr] [nst]Faculty of Geodesy and Cartography,Faculty of Geodesy and Cartography
Gospodarka Przestrzenna [mgr] [nst]Faculty of Geodesy and Cartography,Faculty of Geodesy and Cartography
"Biogospodarka [inż] [st]Faculty of Building Services, Hydro and Environmental Engineering","Faculty of Building Services, Hydro and Environmental Engineering"
"Inżynieria Środowiska [inż] [st]Faculty of Building Services, Hydro and Environmental Engineering","Faculty of Building Services, Hydro and Environmental Engineering"
"Ochrona Środowiska [inż] [st]Faculty of Building Services, Hydro and Environmental Engineering","Faculty of Building Services, Hydro and Environmental Engineering"
"Inżynieria Środowiska [inż] [nst]Faculty of Building Services, Hydro and Environmental Engineering","Faculty of Building Services, Hydro and Environmental Engineering"
"Biogospodarka [mgr] [st]Faculty of Building Services, Hydro and Environmental Engineering","Faculty of Building Services, Hydro and Environmental Engineering"
"Inżynieria Środowiska [mgr] [st]Faculty of Building Services, Hydro and Environmental Engineering","Faculty of Building Services, Hydro and Environmental Engineering"
"Ochrona Środowiska [mgr] [st]Faculty of Building Services, Hydro and Environmental Engineering","Faculty of Building Services, Hydro and Environmental Engineering"
"Inżynieria Środowiska [mgr] [nst]Faculty of Building Services, Hydro and Environmental Engineering","Faculty of Building Services, Hydro and Environmental Engineering"
Inzynieria Chemiczna i Procesowa [inż] [st]Faculty of Chemical and Process Engineering,Faculty of Chemical and Process Engineering
Inzynieria Chemiczna i Procesowa [mgr] [st]Faculty of Chemical and Process Engineering,Faculty of Chemical and Process Engineering
Budownictwo [inż] [st]Faculty of Civil Engineering,Faculty of Civil Engineering
Budownictwo [inż] [nst]Faculty of Civil Engineering,Faculty of Civil Engineering
Budowa i Eksploatacja Infrastruktury Transportu Szynowego [mgr] [st]Faculty of Civil Engineering,Faculty of Civil Engineering
Budownictwo [mgr] [st]Faculty of Civil Engineering,Faculty of Civil Engineering
Budownictwo [mgr] [nst]Faculty of Civil Engineering,Faculty of Civil Engineering
Inżynieria Materiałowa [inż] [st]Faculty of Materials Science and Engineering,Faculty of Materials Science and Engineering
Inżynieria Materiałowa [mgr] [st]Faculty of Materials Science and Engineering,Faculty of Materials Science and Engineering
Matematyka [lic] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Matematyka i Analiza Danych [lic] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Informatyka i Systemy Informacyjne [inż] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Inżynieria i Analiza Danych [inż] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Informatyka i Systemy Informacyjne [mgr] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Matematyka [mgr] [st]Faculty of Mathematics and Information Science,Faculty of Mathematics and Information Science
Automatyka i Robotyka [inż] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Energetyka [inż] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Lotnictwo i Kosmonautyka [inż] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Mechanika i Projektowanie Maszyn [inż] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Mechanika i Projektowanie Maszyn [inż] [nst]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Automatyka i Robotyka [mgr] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Energetyka [mgr] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Lotnictwo i Kosmonautyka [mgr] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Mechanika i Projektowanie Maszyn [mgr] [st]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Mechanika i Projektowanie Maszyn [mgr] [nst]Faculty of Power and Aeronautical Engineering,Faculty of Power and Aeronautical Engineering
Automatyka Robotyka i Informatyka Przemysłowa [inż] [st]Faculty of Mechatronics,Faculty of Mechatronics
Inżynieria Biomedyczna [inż] [st]Faculty of Mechatronics,Faculty of Mechatronics
Mechatronika [inż] [st]Faculty of Mechatronics,Faculty of Mechatronics
