from_id,to_id,relation_type,weight
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty do wyboru wspólne dla kierunkuCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Komunikacja w działalności gospodarczejCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Negocjacje w biznesieCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy organizacji i zarządzanieCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Wprowadzenie do mikroekonomiiCollege of Economics and Social Sciences,Semester 1,6
Ekonomia [lic] [st]College of Economics and Social Sciences,Język obcyCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język angielskiCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język niemieckiCollege of Economics and Social Sciences,Semester 1,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty humanistyczno-społeczne do wyboruCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy socjologiiCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Polska Myśl DemokratycznaCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Encyklopedia prawaCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [lic] [st]College of Economics and Social Sciences,MatematykaCollege of Economics and Social Sciences,Semester 1,5
Ekonomia [lic] [st]College of Economics and Social Sciences,Ochrona własności intelektualnejCollege of Economics and Social Sciences,Semester 1,1
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy filozofii i metodologia naukCollege of Economics and Social Sciences,Semester 1,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Technologia informacyjnaCollege of Economics and Social Sciences,Semester 1,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Przysposobienie biblioteczneCollege of Economics and Social Sciences,Semester 1,0
Ekonomia [lic] [st]College of Economics and Social Sciences,Zasady BHP i ochrona przeciwpożarowaCollege of Economics and Social Sciences,Semester 1,0
Ekonomia [lic] [st]College of Economics and Social Sciences,Praktyka zawodowaCollege of Economics and Social Sciences,Semester 2,8
Ekonomia [lic] [st]College of Economics and Social Sciences,MikroekonomiaCollege of Economics and Social Sciences,Semester 2,5
Ekonomia [lic] [st]College of Economics and Social Sciences,Podstawy nauki o przedsiębiorstwieCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Język obcyCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język angielskiCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Język niemieckiCollege of Economics and Social Sciences,Semester 2,4
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty humanistyczno-społeczne do wyboruCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Przedmioty humanistyczno-społeczne do wyboruCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Kryzys i zmiana społeczna w myśli europejskiejCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,LogikaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Twórcze rozwiązywanie konfliktówCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Współczesna antropologia filozoficznaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Matematyka w ekonomiiCollege of Economics and Social Sciences,Semester 2,3
Ekonomia [lic] [st]College of Economics and Social Sciences,Prawo cywilneCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Zarządzanie środowiskiem i ekologiaCollege of Economics and Social Sciences,Semester 2,2
Ekonomia [lic] [st]College of Economics and Social Sciences,Wychowanie fizyczneCollege of Economics and Social Sciences,Semester 2,0
